Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.5496985385649968,0.0022907669047036827,0.00913705583756345,0.06617751717567444,0.00513405590416429,0.041474654377880185,0.0,0.0,0.0,0.08991904556751251,9,1744,104949,208
6,0.5380487289627172,0.004407537739312456,0.013844023996308262,0.06617751717567444,0.008556759840273816,0.036231884057971016,0.0,0.0,0.0,0.08991904556751251,15,1738,104758,399
12,0.5652269441732644,0.008048231554576835,0.01876371339940985,0.04291316866874695,0.009650556463538018,0.33695652173913043,0.0,0.0,0.0,0.08991904556751251,248,25450,80724,488
36,0.6321936889138428,0.030155900252155813,0.07275559016575815,0.33677563071250916,0.04695577254451465,0.16148148148148148,0.037383177570093455,0.0019753086419753087,1.9736471674166376,0.39693671464920044,327,6637,98248,1698
60,0.6354835876614168,0.050943873894032723,0.10324553151458138,0.40000128746032715,0.06490242460082792,0.25229885057471263,0.02830188679245283,0.0008620689655172414,0.8622478854912168,0.5252655148506165,878,12650,89892,2602
