Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6879414769000093,0.0037519904916403575,0.020905923344947737,0.2934253513813019,0.034482758620689655,0.015,0.028037383177570093,0.015,14.987383177570093,0.28559938073158264,3,84,106626,197
6,0.6411222489407992,0.006540377874954489,0.0245398773006135,0.18548300862312317,0.014957264957264958,0.06829268292682927,0.028037383177570093,0.007317073170731708,7.310918623204923,0.28559938073158264,28,1844,104656,382
12,0.641785073410137,0.011238384156814643,0.03000714455822815,0.16718536615371704,0.018150388936905792,0.08653846153846154,0.028037383177570093,0.004120879120879121,4.117412960870905,0.28559938073158264,63,3408,102774,665
36,0.6273050997573872,0.030734494702499775,0.06445414847161571,0.14180251955986023,0.03928039173940813,0.17947470817120623,0.08411214953271028,0.004377431906614786,4.373749954543801,0.28559938073158264,369,9025,95829,1687
60,0.6066113459623642,0.04883277783245925,0.09443001443001443,0.13163046538829803,0.05908270133622246,0.23505747126436782,0.08490566037735849,0.002586206896551724,2.585377358490566,0.28559938073158264,818,13027,89459,2662
