Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6421668779889923,0.003483779666558099,0.02168021680216802,0.06183141842484474,0.015209125475285171,0.03773584905660377,0.01834862385321101,0.009433962264150943,9.44348277652761,0.081915482878685,8,518,108380,204
6,0.6528469487382274,0.007856617398481825,0.027255639097744356,0.08525232970714569,0.017726161369193152,0.05894308943089431,0.01834862385321101,0.0040650406504065045,4.069142985007832,0.12174434214830399,29,1607,107011,463
12,0.6494633607332718,0.014825716900601865,0.03937007874015748,0.08525232970714569,0.030562347188264057,0.05530973451327434,0.11009174311926606,0.01327433628318584,13.287732402370708,0.12174434214830399,50,1586,106620,854
36,0.6286864736201567,0.034921082283676484,0.07146908678389109,0.3251667320728302,0.041331186258722494,0.2638994668697639,0.11009174311926606,0.00456968773800457,4.57429934948329,0.508369505405426,693,16074,90410,1933
60,0.6304264347800403,0.06390490809444918,0.11149673035472911,0.41489937901496887,0.0666870602630774,0.3398663697104677,0.1111111111111111,0.0026726057906458797,2.678693392724573,0.6482512950897217,1526,21357,82399,2964
