Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7283944680639228,0.003114584747268329,0.055401662049861494,0.6329501271247864,0.035842293906810034,0.12195121951219512,0.0,0.0,0.0,0.6694132685661316,10,269,208449,72
6,0.7672837167843941,0.0029078993647309375,0.04975124378109452,0.6374514102935791,0.03663003663003663,0.07751937984496124,0.0,0.0,0.0,0.6705888509750366,10,263,208408,119
12,0.7485764105082884,0.0032536622088081757,0.045871559633027525,0.7871310710906982,0.042735042735042736,0.04950495049504951,0.0,0.0,0.0,0.7976868152618408,10,224,208374,192
36,0.7735913658062813,0.008530100567932956,0.04776119402985075,0.8359158635139465,0.07476635514018691,0.03508771929824561,0.05741626794258373,0.02631578947368421,26.290606900025185,0.8360388278961182,16,198,208146,440
60,0.7676093510660882,0.010351979603293378,0.034590107229332416,0.8114427924156189,0.022614201718679332,0.07352941176470588,0.03398058252427184,0.010294117647058823,10.308409480296973,0.8888429403305054,50,2161,203445,630
