Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7821531378554796,0.003392707652141678,0.012876227265411235,0.0447966493666172,0.00666000666000666,0.1932367149758454,0.0,0.0,0.0,0.05531376600265503,40,5966,194717,167
6,0.7427498793102422,0.005075356643709276,0.01580479689449605,0.04439055547118187,0.008382352941176471,0.13801452784503632,0.0,0.0,0.0,0.05531376600265503,57,6743,193734,356
12,0.7627704103840215,0.009610844676408516,0.02675059008654603,0.10252576321363449,0.014570833843516592,0.16301369863013698,0.0,0.0,0.0,0.1260199099779129,119,8048,192112,611
36,0.7423356911163919,0.02668446091643394,0.06191486705779553,0.40309861302375793,0.04165966739459096,0.12050534499514091,0.029850746268656716,0.0029154518950437317,2.913856374106145,0.4521850645542145,248,5705,193127,1810
60,0.7415822279126496,0.051553541808537315,0.10155120917236729,0.5707705616950989,0.07672150240209638,0.15014245014245015,0.1414141414141414,0.007977207977207978,7.987239920573254,0.6300301551818848,527,6342,188397,2983
