Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.5456491658368521,0.0019453191679296232,0.004869541192519556,0.024248355999588966,0.0024432930738706267,0.698019801980198,0.0,0.0,0.0,0.04272842779755592,141,57568,49140,61
6,0.6110581045598742,0.005591015989944433,0.018842530282637958,0.07114189118146896,0.021148036253776436,0.01699029126213592,0.018691588785046728,0.0048543689320388345,4.850285817983848,0.07739751040935516,7,324,106174,405
12,0.6112505874262752,0.009909035542738932,0.028059236165237724,0.06248081475496292,0.019650655021834062,0.04904632152588556,0.018691588785046728,0.0027247956403269754,2.7225037561435226,0.07739751040935516,36,1796,104380,698
36,0.627805469568466,0.02901031743366181,0.06290220248345871,0.311796635389328,0.038551272080879904,0.17076771653543307,0.04672897196261682,0.0024606299212598425,2.458560232541026,0.43130171298980713,347,8654,96224,1685
60,0.6354636552703975,0.05465344179605705,0.10153797030493322,0.3945729732513428,0.062308144471295145,0.27413793103448275,0.12264150943396226,0.003735632183908046,3.735878876599436,0.6184168457984924,954,14357,88170,2526
