Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7327452418174758,0.01805892486528067,0.1055594651653765,0.18064028024673462,0.08455467869222097,0.1404494382022472,0.06091370558375635,0.02247191011235955,22.490161409912737,0.2621249854564667,75,812,195814,459
6,0.7040865072420089,0.027048678051629447,0.11476868327402136,0.16513799130916595,0.11716621253405994,0.11246730601569312,0.1116751269035533,0.01918047079337402,19.196048840718895,0.2621249854564667,129,972,195041,1018
12,0.6898856823627941,0.033489085763803356,0.09220985691573927,0.0989898070693016,0.07844905320108206,0.11182519280205655,0.13705583756345177,0.011568123393316195,11.577518823483354,0.2621249854564667,261,3066,191760,2073
36,0.6917092267720722,0.08541870417165479,0.15545103714423542,0.38043704628944397,0.13268142048378795,0.18765468044839131,0.19289340101522842,0.005532100742466153,5.536593819211302,0.5226160287857056,1289,8426,181865,5580
60,0.6902523254850674,0.1273760861644058,0.19424338192816118,0.4554484486579895,0.1516421711678251,0.27013232514177693,0.28865979381443296,0.005293005671077505,5.3066474382710025,0.6517027020454407,2858,15989,167931,7722
