Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7613321625276211,0.017265334454064075,0.08241758241758242,0.12812703847885132,0.07263922518159806,0.09523809523809523,0.06403940886699508,0.020634920634920634,20.611541168191415,0.1924891471862793,60,766,201374,570
6,0.7532635060006436,0.029865078868162854,0.1067378252168112,0.13082608580589294,0.10069225928256766,0.11355571327182398,0.06403940886699508,0.009226401703335699,9.215948144755567,0.22085197269916534,160,1429,199932,1249
12,0.727416241313942,0.04218620776317209,0.10242872228088701,0.10914547741413116,0.10055286800276433,0.10437589670014347,0.07389162561576355,0.005380200860832138,5.374105066753363,0.22085197269916534,291,2603,197379,2497
36,0.7151385977341354,0.09977401605986745,0.16538123596602558,0.31297025084495544,0.11247842060997743,0.3122388793315311,0.27586206896551724,0.006881297616121897,6.873501072024814,0.4959166646003723,2541,20050,174582,5597
60,0.7175729734912989,0.15139755179496436,0.22047776950666578,0.4289722144603729,0.15469595770947422,0.3835949764521193,0.405,0.006357927786499215,6.370293956043956,0.7596444487571716,4887,26704,160945,7853
