Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.5916991665854372,0.0009251071253073395,0.011976047904191617,0.6001483798027039,0.008547008547008548,0.02,0.004878048780487805,0.01,10.013658536585366,0.6069675087928772,2,232,204948,98
6,0.627265905670721,0.0011786688587817375,0.010958904109589041,0.6001483798027039,0.008547008547008548,0.015267175572519083,0.004878048780487805,0.007633587786259542,7.644014150065164,0.6069675087928772,2,232,204917,129
12,0.6528333416911365,0.0019511630386244046,0.014925373134328358,0.6001483798027039,0.01282051282051282,0.017857142857142856,0.00975609756097561,0.011904761904761904,11.92102206736353,0.6069675087928772,3,231,204881,165
36,0.7225697554732368,0.004594827291065803,0.013215859030837005,0.5047316551208496,0.01160541586073501,0.015345268542199489,0.00975609756097561,0.005115089514066497,5.122075977793026,0.6069675087928772,6,511,204378,385
60,0.7201019787550793,0.008899714971136131,0.03213094877235526,0.6370111703872681,0.019636902556502408,0.08833333333333333,0.019704433497536946,0.006666666666666667,6.652282430213464,0.772270917892456,53,2646,199316,547
