Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7055080784207823,0.00894238695122481,0.02816901408450704,0.2837041914463043,0.02976190476190476,0.026737967914438502,0.02030456852791878,0.0071301247771836,7.1359157414696375,0.3173092305660248,15,489,196110,546
6,0.6903704476637514,0.015231622355638212,0.042724978973927664,0.18999645113945007,0.026675068262969965,0.10726351351351351,0.030456852791878174,0.005067567567567568,5.071683358485389,0.3173092305660248,127,4634,191342,1057
12,0.6699768734152487,0.028120343481789815,0.07099073414112615,0.19052307307720184,0.053023850085178875,0.1073738680465718,0.06598984771573604,0.00560586459680897,5.610417583283536,0.3173092305660248,249,4447,190394,2070
36,0.6617487027909671,0.07346742537853779,0.13011215110886246,0.1476781666278839,0.09104319093698371,0.22791728212703102,0.1116751269035533,0.0032496307237813884,3.2522700177702464,0.3173092305660248,1543,15405,174985,5227
60,0.6566103644550948,0.11933158281574757,0.17861449084730902,0.13498196005821228,0.12577184316146958,0.30803402646502837,0.37435897435897436,0.006899810964083175,6.8839237070428,0.3173092305660248,3259,22653,161318,7321
