Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7053818883900325,0.008458687276973485,0.035141329258976325,0.2697977125644684,0.03112313937753721,0.04035087719298246,0.005076142131979695,0.0017543859649122807,1.7558108469142397,0.3275735676288605,23,716,195874,547
6,0.6872137232068296,0.01624809052813939,0.04971517348524081,0.2697977125644684,0.06495263870094722,0.040268456375838924,0.06091370558375635,0.010067114093959731,10.075290430279699,0.3275735676288605,48,691,195277,1144
12,0.6653433196503743,0.028826570743727416,0.0699443413729128,0.1658436805009842,0.0445731851501537,0.16236003445305772,0.1319796954314721,0.01119724375538329,11.20633796350949,0.3275735676288605,377,8081,186757,1945
36,0.6626131186171647,0.07713539955568872,0.13310159228526575,0.15708866715431213,0.10810564663023679,0.17313302217036172,0.233502538071066,0.006709451575262544,6.714900876034331,0.3275735676288605,1187,9793,180511,5669
60,0.6615154933161945,0.12361946439826302,0.1817079992541488,0.12350674718618393,0.1205915109516149,0.36843100189035916,0.441025641025641,0.008128544423440454,8.11232901943677,0.3275107145309448,3898,28426,155605,6682
