Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.5594289091037663,0.0020221938836986687,0.006196377502383221,0.03184384107589722,0.003248375812093953,0.06701030927835051,0.0,0.0,0.0,0.04482612386345863,13,3989,102727,181
6,0.6201997127771957,0.006114891448030456,0.018094430308170765,0.05961580574512482,0.010272873194221509,0.07582938388625593,0.0,0.0,0.0,0.08325304090976715,32,3083,103405,390
12,0.615974732900751,0.01047670151009698,0.03151674326986211,0.061298638582229614,0.020878642888212267,0.0642570281124498,0.0,0.0,0.0,0.08325304090976715,48,2251,103912,699
36,0.6171817754683365,0.02827994051409831,0.05857338820301783,0.2961723208427429,0.03407821229050279,0.20829268292682926,0.0,0.0,0.0,0.4415220320224762,427,12103,92757,1623
60,0.6274162164554848,0.05318431181185981,0.09904430929626412,0.37330371141433716,0.059519665854507485,0.29482758620689653,0.03773584905660377,0.0011494252873563218,1.1499674690956407,0.6211740970611572,1026,16212,86358,2454
