Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.8148518112511834,0.003300473359981319,0.014285714285714287,0.22711217403411865,0.007692307692307693,0.1,0.0,0.0,0.0,0.3443674147129059,20,2580,198110,180
6,0.7653034200048161,0.004810327773766981,0.017082785808147177,0.2266559898853302,0.009859689040576413,0.06388206388206388,0.004975124378109453,0.002457002457002457,2.455657828792157,0.3443674147129059,26,2611,197872,381
12,0.7735524691318062,0.009617465007174579,0.03141671606401897,0.2266559898853302,0.020098596890405763,0.07191316146540028,0.014925373134328358,0.004070556309362279,4.06832864173029,0.3443674147129059,53,2584,197569,684
36,0.7337141663988803,0.024404853953734304,0.05500317325999577,0.22593998908996582,0.048507462686567165,0.0635075720566683,0.07960199004975124,0.007816316560820713,7.8120389746431504,0.3443674147129059,130,2550,196293,1917
60,0.71644045477229,0.041148289802195114,0.08770892674799806,0.16261723637580872,0.05405047360402729,0.23247863247863249,0.11616161616161616,0.0065527065527065526,6.559821865377421,0.3447240889072418,816,14281,180424,2694
