Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.8650626458961935,0.013667968032867244,0.12500000000000003,0.5490546226501465,0.14084507042253522,0.11235955056179775,0.04784688995215311,0.11235955056179775,112.25202946078167,0.4710213840007782,10,61,208650,79
6,0.8133809425646442,0.010708312556724114,0.09756097560975609,0.5490546226501465,0.14084507042253522,0.07462686567164178,0.04784688995215311,0.07462686567164178,74.55545240305649,0.4710213840007782,10,61,208605,124
12,0.7670973117658031,0.008383479834134218,0.07380073800738007,0.5490546226501465,0.1388888888888889,0.05025125628140704,0.04784688995215311,0.05025125628140704,50.203168954821955,0.4710213840007782,10,62,208539,189
36,0.7296807506919238,0.007703147122894542,0.04,0.5490546226501465,0.1388888888888889,0.02336448598130841,0.04784688995215311,0.02336448598130841,23.342127621517683,0.4710213840007782,10,62,208310,418
60,0.7612923279204784,0.00875205633451459,0.027644230769230768,0.7216960191726685,0.023373983739837397,0.033823529411764704,0.009708737864077669,0.0029411764705882353,2.9454311821816104,0.7637136578559875,23,961,204657,657
