Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7617335825536276,0.0027104665691228547,0.010572460030943785,0.07804794609546661,0.005435503115471298,0.19248826291079812,0.0,0.0,0.0,0.1194932833313942,41,7502,197675,172
6,0.7804714318554186,0.006129776518596558,0.016031569860648662,0.07788587361574173,0.008541392904073587,0.13026052104208416,0.0,0.0,0.0,0.1194932833313942,65,7545,197346,434
12,0.7807413429754623,0.01040803037402531,0.025438249637537894,0.056908685714006424,0.013097621390519494,0.44013683010262256,0.0,0.0,0.0,0.1194932833313942,386,29085,175428,491
36,0.7831309150807769,0.03191599298052979,0.06290139780884021,0.3646324574947357,0.033075089392133494,0.6403846153846153,0.09268292682926829,0.007307692307692308,7.321594746716698,0.524653971195221,1665,48675,154115,935
60,0.7807969264468987,0.05451996262773412,0.10528767761472164,0.4064426124095917,0.060642651103508416,0.3991169977924945,0.13793103448275862,0.006181015452538631,6.179675725051382,0.5247548818588257,1808,28006,170420,2722
