Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7107051423012815,0.01211360483625246,0.06259541984732825,0.122712142765522,0.05459387483355526,0.07334525939177101,0.050761421319796954,0.017889087656529516,17.903616864778474,0.16472700238227844,41,710,195891,518
6,0.7054213823770865,0.019477585450410725,0.07403008709422011,0.0902658998966217,0.04840797307791871,0.15727502102607233,0.050761421319796954,0.008410428931875526,8.417259737099384,0.17654424905776978,187,3676,192295,1002
12,0.7129970756055559,0.03416041253585105,0.08973252804141502,0.13044843077659607,0.07512279687951459,0.11139674378748929,0.050761421319796954,0.004284490145672665,4.287969934623465,0.210023894906044,260,3201,191625,2074
36,0.7004454353515935,0.08229713639187232,0.15486879309489557,0.3427136242389679,0.11744789707320744,0.2272859638905067,0.16243654822335024,0.004659289458357601,4.663073652841546,0.5115950703620911,1561,11730,178562,5307
60,0.7006560783354453,0.12905608965861085,0.19951445596998452,0.4269790053367615,0.14087579865980987,0.3417769376181474,0.46153846153846156,0.008506616257088847,8.490388250690708,0.6776559352874756,3616,22052,161996,6964
