Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6599942358618307,0.0032155827119796764,0.009853871563742232,0.035939861088991165,0.004983576849020274,0.43349753694581283,0.0,0.0,0.0,0.060648757964372635,88,17570,89137,115
6,0.6133899775135938,0.005586513398261252,0.016048699501936912,0.035939861088991165,0.008211575489862951,0.35194174757281554,0.0,0.0,0.0,0.060648757964372635,145,17513,88985,267
12,0.6330143248814127,0.010642102847769962,0.02823529411764706,0.2234744280576706,0.017408123791102514,0.07468879668049792,0.018691588785046728,0.0027662517289073307,2.7639249751166606,0.3506411015987396,54,3048,103139,669
36,0.6309862094580534,0.029511644845502946,0.06584743797820543,0.18363532423973083,0.039028859367842415,0.21047430830039526,0.04672897196261682,0.0024703557312252965,2.4682778619186583,0.3506411015987396,426,10489,94397,1598
60,0.6113795671081874,0.04798911013842472,0.09752855659397715,0.3225632309913635,0.05700412721534353,0.3373563218390805,0.0,0.0,0.0,0.8013049960136414,1174,19421,83093,2306
