Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6218258050942023,0.0027822793347397007,0.018115942028985508,0.06510065495967865,0.014492753623188406,0.024154589371980676,0.0,0.0,0.0,0.0768311470746994,5,340,108563,202
6,0.6252864753610348,0.007093341915589409,0.023083264633140976,0.0804474949836731,0.01928374655647383,0.028747433264887063,0.0,0.0,0.0,0.10266014188528061,14,712,107911,473
12,0.6307377023439633,0.012398602990845073,0.03201133144475921,0.05324172228574753,0.017094017094017096,0.25139043381535037,0.0,0.0,0.0,0.10266014188528061,226,12995,95216,673
36,0.6228354378041567,0.032697951183948984,0.06573585810162991,0.24883121252059937,0.03568988515469955,0.4156877605153467,0.009174311926605505,0.00037893141341417203,0.3793138212625717,0.359512597322464,1097,29640,76831,1542
60,0.610789813051534,0.0567516878425872,0.10252035121396325,0.32539936900138855,0.060995727761093015,0.32115812917594655,0.12962962962962962,0.0031180400890868597,3.125257774478264,0.5209407806396484,1442,22199,81561,3048
