Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6172119017642118,0.0007463947659263656,0.0028831087433406457,0.17433026432991028,0.0014507379841049578,0.22772277227722773,0.0,0.0,0.0,0.5514361262321472,23,15831,189348,78
6,0.5798289450315371,0.000849960971646958,0.003378167031592118,0.17433026432991028,0.0017030402422101678,0.20610687022900764,0.0,0.0,0.0,0.5514361262321472,27,15827,189322,104
12,0.5797637002836847,0.0010573067034031953,0.00446927374301676,0.4171014726161957,0.0027472527472527475,0.011976047904191617,0.0,0.0,0.0,0.5514361262321472,2,726,204387,165
36,0.6406960053236569,0.0032589208067059405,0.011581291759465479,0.3276369571685791,0.007019438444924406,0.03307888040712468,0.00975609756097561,0.005089058524173028,5.096009433376777,0.5514361262321472,13,1839,203048,380
60,0.6582414346497332,0.005573640005095571,0.018004501125281323,0.4105023145675659,0.01637107776261937,0.02,0.009900990099009901,0.0033333333333333335,3.3414026402640262,0.5450438261032104,12,721,201168,588
