Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6079966203757343,0.0030521577985007015,0.02706359945872801,0.04413828253746033,0.018484288354898338,0.050505050505050504,0.0,0.0,0.0,0.053968049585819244,10,531,106181,188
6,0.6388167374973648,0.006405489618764334,0.026554856743535988,0.03966140002012253,0.015548281505728314,0.09090909090909091,0.0,0.0,0.0,0.05410529673099518,38,2406,104086,380
12,0.6599634001250467,0.013984758821595906,0.04679245283018868,0.09513548761606216,0.05400696864111498,0.041278295605858856,0.028037383177570093,0.0039946737683089215,3.991313762335577,0.10693488270044327,31,543,105616,720
36,0.6443593802580877,0.03412931651865483,0.07684918347742556,0.37901145219802856,0.07593735168485999,0.07778317938745746,0.028037383177570093,0.0014584346135148275,1.4572078928118708,0.4524094760417938,160,1947,102906,1897
60,0.6574305638718861,0.05923854647579029,0.10945112049366677,0.4229859709739685,0.07627885921231327,0.19367816091954024,0.1320754716981132,0.004022988505747126,4.022533073086098,0.5979571342468262,674,8162,94346,2806
