Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.8109948972722764,0.003960962717308748,0.03033175355450237,0.27430063486099243,0.01845444059976932,0.0851063829787234,0.014925373134328358,0.015957446808510637,15.948713877421403,0.3445255756378174,16,851,199851,172
6,0.750288768992919,0.006723242946669749,0.03720238095238096,0.27128854393959045,0.02691065662002153,0.060240963855421686,0.04975124378109453,0.024096385542168676,24.083198465503806,0.3445255756378174,25,904,199571,390
12,0.7606710809808134,0.011008624761482016,0.03746223564954682,0.27128854393959045,0.03336921420882669,0.04269972451790634,0.07462686567164178,0.02066115702479339,20.649849923934045,0.3445255756378174,31,898,199266,695
36,0.7307130227101221,0.02545263670795095,0.05314580869998133,0.16201874613761902,0.03048258138206739,0.2071809801067443,0.12935323383084577,0.012615235322658904,12.608331462532075,0.3445255756378174,427,13581,185248,1634
60,0.7128014497773855,0.043146135174823734,0.08641975308641975,0.15157563984394073,0.05118897306397306,0.2772079772079772,0.1717171717171717,0.009686609686609686,9.698253187142075,0.34520891308784485,973,18035,176693,2537
