Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6300779574639856,0.004805507982954002,0.02072538860103627,0.08944270014762878,0.020942408376963352,0.020512820512820513,0.018691588785046728,0.010256410256410256,10.247783369278697,0.09268996864557266,4,187,106528,191
6,0.5732629926032928,0.0074429248879845245,0.017464619090635354,0.06630893796682358,0.009951956074124914,0.07125307125307126,0.028037383177570093,0.007371007371007371,7.364807458265402,0.09268996864557266,29,2885,103618,378
12,0.5788762612374738,0.010986646718788901,0.026887280248190277,0.06581275165081024,0.016645326504481434,0.06989247311827956,0.028037383177570093,0.004032258064516129,4.0288664455833585,0.09268996864557266,52,3072,103094,692
36,0.6300233045711785,0.030244346846829886,0.06410386448929913,0.3293415307998657,0.04058045460382689,0.1525096525096525,0.028037383177570093,0.0014478764478764478,1.446658607873561,0.5905064940452576,316,7471,97367,1756
60,0.6105230335352878,0.04787767975619279,0.09426229508196722,0.36428651213645935,0.05767746913580247,0.25775862068965516,0.12264150943396226,0.003735632183908046,3.7344692040772065,0.7989903092384338,897,14655,87832,2583
