Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.8206749388818939,0.004140439556334696,0.02507836990595611,0.05694825202226639,0.038834951456310676,0.018518518518518517,0.01990049751243781,0.018518518518518517,18.508384005896446,0.05563675984740257,4,99,200575,212
6,0.7570650478921788,0.005433287410474388,0.014919985561304297,0.0427827425301075,0.007869018911029318,0.14351851851851852,0.009950248756218905,0.004629629629629629,4.627096001474111,0.05773172900080681,62,7817,192641,370
12,0.7747895854407535,0.011344720259008957,0.03467062902426944,0.2465238720178604,0.027888446215139442,0.04581151832460733,0.009950248756218905,0.002617801047120419,2.616368419681696,0.26547369360923767,35,1220,198906,729
36,0.7553800926895518,0.026762381399814083,0.05737308622078969,0.19965311884880066,0.031276081704370746,0.34647201946472017,0.03980099502487562,0.0038929440389294406,3.8908135720424637,0.26547369360923767,712,22053,176782,1343
60,0.7486266157317842,0.047863665623099225,0.09825441622243128,0.5491522550582886,0.07759616972098399,0.1339031339031339,0.07575757575757576,0.004273504273504274,4.279202279202279,0.6546853184700012,470,5587,189167,3040
