Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6654125675340415,0.001367113792611886,0.006806455154243057,0.09763546288013458,0.0034421496779924493,0.30097087378640774,0.0,0.0,0.0,0.729640781879425,31,8975,196202,72
6,0.6323104968815504,0.0015707921366365219,0.007440639019586388,0.09763546288013458,0.003775260937153009,0.2556390977443609,0.0,0.0,0.0,0.729640781879425,34,8972,196175,99
12,0.6250066311042144,0.0016281463865957962,0.007296954314720813,0.1500779092311859,0.003697749196141479,0.27380952380952384,0.0,0.0,0.0,0.729640781879425,46,12394,192718,122
36,0.6635697275957961,0.0031940067834889444,0.010111412789064694,0.4819481372833252,0.005243736647892795,0.1409921671018277,0.0,0.0,0.0,0.7630159258842468,54,10244,194653,329
60,0.6729554452666581,0.0051768090142094575,0.019590382902938557,0.8234074115753174,0.011917659804983749,0.055,0.0,0.0,0.0,0.9096982479095459,33,2736,199158,567
