Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.5023534613309195,0.0009076617775397708,0.02444987775061125,0.6474767327308655,0.01644736842105263,0.047619047619047616,0.0,0.0,0.0,0.7301100492477417,5,299,204876,100
6,0.48258030912516076,0.0010043397119605976,0.02257336343115124,0.6474767327308655,0.01644736842105263,0.03597122302158273,0.0,0.0,0.0,0.7301100492477417,5,299,204842,134
12,0.510754172079831,0.001840993958435809,0.03797468354430379,0.6474767327308655,0.029605263157894735,0.052941176470588235,0.004878048780487805,0.0058823529411764705,5.89038737446198,0.7301100492477417,9,295,204815,161
36,0.5857939026734242,0.0036822162316652186,0.025787965616045846,0.6474767327308655,0.029605263157894735,0.02284263959390863,0.004878048780487805,0.0025380710659898475,2.5415376996409558,0.7301100492477417,9,295,204591,385
60,0.6226754844322935,0.006283139558946956,0.0352760736196319,0.38054150342941284,0.022908366533864542,0.07666666666666666,0.009852216748768473,0.0033333333333333335,3.3251724137931036,0.7118952870368958,46,1962,199941,554
