Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.6515207336768993,0.0032612427283314526,0.01568627450980392,0.06770146638154984,0.013986013986013986,0.017857142857142856,0.0,0.0,0.0,0.07577645033597946,4,282,108604,220
6,0.6256670379678471,0.006743561786116306,0.019897354915120413,0.05721132829785347,0.010343129207026762,0.2608695652173913,0.0,0.0,0.0,0.10460206866264343,126,12056,96571,357
12,0.6266662941374774,0.011983531771067297,0.02968167479208489,0.05655284970998764,0.015875450571362835,0.22772277227722773,0.0,0.0,0.0,0.10460206866264343,207,12832,95369,702
36,0.6250152291533707,0.032450558734004833,0.06498126899606532,0.2535630166530609,0.034623013382208946,0.5275439938791124,0.0,0.0,0.0,0.3742145001888275,1379,38450,68046,1235
60,0.6126712905521672,0.05760535740958318,0.10427404368710774,0.3413260281085968,0.06187840705755066,0.3311804008908686,0.12962962962962962,0.0031180400890868597,3.1260084137589703,0.555158257484436,1487,22544,81242,3003
