Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7379833222512486,0.02473605170971821,0.10029940119760478,0.18830087780952454,0.0950354609929078,0.10618066561014262,0.08866995073891626,0.028526148969889066,28.49382870258328,0.22686870396137238,67,638,201501,564
6,0.7381751028790051,0.031844188846232246,0.10655492367554624,0.12882152199745178,0.09270833333333334,0.12526389866291343,0.10344827586206896,0.014778325123152709,14.761581207988547,0.22686870396137238,178,1742,199607,1243
12,0.7336990199671489,0.04336088775461141,0.10227272727272728,0.13481591641902924,0.10314232902033271,0.10141766630316248,0.1330049261083744,0.009814612868047983,9.803492863320638,0.2270282357931137,279,2426,197593,2472
36,0.7165106705819172,0.09950449727568322,0.16716023116069118,0.2727509140968323,0.1090683975537463,0.3576525590551181,0.3694581280788177,0.009227362204724409,9.216907557891469,0.4870339334011078,2907,23746,170896,5221
60,0.7154368383198955,0.1509901126931496,0.2147545287477028,0.39992910623550415,0.14457405443619653,0.4173469387755102,0.505,0.007927786499215071,7.943285321821035,0.7246345281600952,5317,31460,156191,7423
