Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7030980295204361,0.01489405566654099,0.07855973813420622,0.17693793773651123,0.07027818448023426,0.08905380333951762,0.08121827411167512,0.029684601113172542,29.70871043387359,0.23544585704803467,48,635,195986,491
6,0.6978597046000147,0.025683910441746602,0.10820346956777419,0.13433466851711273,0.08134394341290893,0.16154521510096576,0.050761421319796954,0.00877963125548727,8.786761920466345,0.2515709102153778,184,2078,193943,955
12,0.6855426185562644,0.032772274874895535,0.09701492537313433,0.13433466851711273,0.09770114942528736,0.0963382737576286,0.050761421319796954,0.004359197907585004,4.362738372890657,0.2515709102153778,221,2041,192825,2073
36,0.6893049593752976,0.08011159214885955,0.14814814814814817,0.33772313594818115,0.107659630957122,0.237446933099107,0.2893401015228426,0.00834431269213878,8.351089798893815,0.45952340960502625,1622,13444,176885,5209
60,0.6909974056912104,0.13204279767989352,0.19303267620847964,0.4249194264411926,0.13512287334593573,0.33780718336483934,0.4564102564102564,0.008412098298676748,8.39216809655373,0.7274572253227234,3574,22876,161082,7006
