Endpoint,auc,aupr,best_f1,best_f1_threshold,precision_at_best_f1_threshold,recall_at_best_f1_threshold,precision_at_1000_per_million,recall_at_1000_per_million,rr_at_1000_per_million,threshold_at_1000_per_million,cm_tp,cm_fp,cm_tn,cm_fn
3,0.7588806467591099,0.002390585322558031,0.008125952260030472,0.07332976907491684,0.004555808656036446,0.03755868544600939,0.0,0.0,0.0,0.10895103216171265,8,1748,203429,205
6,0.7684560671907771,0.00617104598435453,0.02394678492239468,0.10584893822669983,0.01532349602724177,0.05476673427991886,0.0,0.0,0.0,0.14421288669109344,27,1735,203162,466
12,0.7831823048347689,0.012800637410869259,0.041728763040238454,0.10055641084909439,0.028747433264887063,0.07608695652173914,0.04878048780487805,0.010869565217391304,10.890243902439025,0.14421288669109344,70,2365,202105,850
36,0.7846356407668602,0.03429700791034047,0.06690380685688338,0.334785521030426,0.03713505566057551,0.3372758489126288,0.04878048780487805,0.0038153376573826785,3.822596104633309,0.5042689442634583,884,22921,179848,1737
60,0.7826460884259712,0.05704281273021843,0.10357420133996607,0.47913601994514465,0.059543095182993354,0.39757174392935984,0.11822660098522167,0.005298013245033113,5.298091540795354,0.6255322098731995,1801,28446,170027,2729
